season,rank,id,name,card_type,copies,base_fame,bonus_value,bonus_condition_text,banner_text,body_text,icon_notes,uncertainty,source_image,read_by
1,15,alligator,Alligator,market,2,6,,,,"After the Market phase, dismiss one card adjacent to the right of this card",,"rulespal.com FAQ: 'The target of the alligator's ability generates fame in the Check Fame phase which can be spent in the Market phase, even though the target is dismissed at the end of the Market phase.' Confirms the dismissal happens strictly after Market actions are spent, not before. Unverified against photographed source.",Season 1 cards.jpeg,subagent+Season 1 rulebook FAQ (rulespal.com transcription)
1,16,lion,Lion,market,2,3,+4,IF all face-up adjacent cards are rank 16 or lower,,,plus-shaped adjacency grid icon,,Season 1 cards.jpeg,subagent
1,17,monkey,Monkey,market,2,3,,,,"IF placed in the upper row, move this card to a row above",staircase/arrow icon showing upward move,"FAQ: ""When a monkey is placed in the upper row of a player's grid, move the card above the upper row, creating an additional row. Place the next revealed card in the space the monkey was originally placed. This additional row is considered part of the player's grid, but does not fill one of the six slots of the player's grid and is not considered the 'upper row'.""",Season 1 cards.jpeg,subagent+Season 1 rulebook FAQ (rulespal.com transcription)
1,18,pig,Pig,market,1,-1,,,"WHEN HIRED OR DISMISSED, PLACE THIS CARD IN ANY DECK",,hand/arrow icons flank banner,rulespal.com FAQ: 'The pig can be placed in any player's deck or back in the toon deck. Shuffle the deck if placed in the toon deck.' Note: solo-play setup removes the Pig from the toon deck entirely (Referance rulebook photos) - this ability presumably doesn't apply in solo. Unverified against photographed source.,Season 1 cards.jpeg,subagent+Season 1 rulebook FAQ (rulespal.com transcription)
1,19,peacock,Peacock,market,2,5,,,"WHEN HIRED, GAIN 2 AND TAKE A BONUS MARKET ACTION",,,,Season 1 cards.jpeg,subagent
1,20,turkey,Turkey,market,2,5,,,,Stack this card on the previous placed card,,"rulespal.com FAQ: 'If a turkey is the first card placed in a player's grid, ignore its ability. A turkey is stacked on the last placed card, even if that card has moved to a new position in the grid.' Matches Elephant's parallel clarification. Unverified against photographed source.",Season 1 cards.jpeg,subagent+Season 1 rulebook FAQ (rulespal.com transcription)
1,21,bull,Bull,market,1,3,+7,IF one or more cards in your grid are face down,CANNOT BE FLIPPED,,,,Season 1 cards.jpeg,subagent
1,22,tiger,Tiger,market,1,3,+1,PER card in your dismissed cards,CANNOT BE DISMISSED,,,Season 1 cards.jpeg,coordinator (seam crop, corrects subagent)
1,23,deer,Deer,market,1,3,+5,IF each face-up card in your grid is unique,,,,,Season 1 cards.jpeg,subagent
1,24,bear,Bear,market,1,1,+1,PER face-up card in your grid,,,,"rulespal.com FAQ: 'The bear counts all face-up stacked cards as well as itself.' Confirms this counts every face-up card across all stacks in the grid, not just one per slot. Unverified against photographed source.",Season 1 cards.jpeg,subagent+Season 1 rulebook FAQ (rulespal.com transcription)
1,25,cow,Cow,market,1,=,,,,Copy the fame of one adjacent card,"plus-shaped adjacency grid icon (center=self outlined, neighbors outlined)","base fame is the literal symbol '=' not a number - dynamic. rulespal.com FAQ adds: 'If there is a stack adjacent to a cow, you may copy any one card's fame in the stack' - i.e. target selection reaches into a whole adjacent stack, not just its top card. Unverified against photographed source.",Season 1 cards.jpeg,subagent+Season 1 rulebook FAQ (rulespal.com transcription)
1,26,axolotl,Axolotl,market,2,7,,,"WHEN HIRED, FLIP YOUR BIG BUTTON CARD FACE UP",,"flip icons flank banner; ""big button card"" is a component from the Big Button mini-expansion (see Referance rulebook photos)",,Season 1 cards.jpeg,subagent
2,1,salamander,Salamander,market,3,3,,,,"IF the next revealed card is rank 1 or lower, return it",,,Season 2 cards.jpeg,subagent
2,2,groundhog,Groundhog,market,3,3,,,,"After the Market phase, dismiss this card if first or last in your grid",6-cell grid icon: first+last cell shaded; FAQ: only considers the 6 base grid slots even if groundhog is in a stack there,mandatory & free per FAQ,Season 2 cards.jpeg,subagent+FAQ
2,3,rat,Rat,market,4,1,,,CARDS IN RAT'S STACK COST 1 FEWER TO DISMISS,Stack this card on the previous placed card,,FAQ: if rat is face-down or no longer in grid during Market phase the discount is ignored; cost cannot go below 0,Season 2 cards.jpeg,coordinator zoom crop
2,4,goldfish,Goldfish,market,5,1,+1,PER FISH card (including this card),CANNOT BE FLIPPED / FISH,,fish-type icon on banner and in bonus text,,Season 2 cards.jpeg,subagent
2,5,mole,Mole,market,2,3,,,,"IF placed in the lower row, stack this card on the card above",up-arrow-from-lower-row icon,Season 2 cards.jpeg,coordinator (seam crop, corrects subagent's fame=0 guess)
2,6,hen,Hen,market,3,0,+1,PER card rank 6 or higher (including this card),,,,,Season 2 cards.jpeg,subagent
2,7,starfish,Starfish,market,2,4,,,CANNOT BE FLIPPED / FISH,Flip the previous placed card unless it [cannot-be-flipped icon] and stack this card on it,,,Season 2 cards.jpeg,subagent
2,8,raccoon,Raccoon,market,2,3,,,"WHEN HIRED, YOU MAY HIRE ANY DISMISSED CARD FOR 0",,,FAQ: optional & free (no action cost),Season 2 cards.jpeg,subagent+FAQ
2,9,panther,Panther,market,2,2,,,"WHEN HIRED, DISMISS A FACE-UP CARD IN YOUR GRID FOR 0",Stack this card on the previous placed card,,FAQ: mandatory & free (no action cost),Season 2 cards.jpeg,subagent+FAQ
2,10,opossum,Opossum,market,2,2,+2,PER pair of identical cards in your dismissed cards,CANNOT BE DISMISSED,,,FAQ: each dismissed card counts toward only one pair (3 identical cards = 1 pair not 1.5),Season 2 cards.jpeg,subagent+FAQ
2,11,mongoose,Mongoose,market,2,2,,,,Dismiss the bottom card of your deck unless it [cannot-be-dismissed icon] and add the top card of the toon deck to the top of your deck,,FAQ: still draws a card even if bottom card can't be dismissed or deck is empty; When-Dismissed triggers on the dismissed card resolve after the Flip phase,Season 2 cards.jpeg,subagent+FAQ
2,12,capybara,Capybara,market,2,2,+4,IF there are at least three cards remaining in your deck,,,FAQ: fame from this card is locked at Check Fame, not affected by later Market-phase deck changes,Season 2 cards.jpeg,subagent+FAQ
2,13,crow,Crow,market,2,2,,,"WHEN DISMISSED, YOU MAY HIRE A CARD IN THE MARKET FOR 0 AND REFILL",,FAQ: optional & free; if dismissed during Market phase resolves immediately; if during Flip phase resolves after Flip completes,Season 2 cards.jpeg,coordinator (seam crop, corrects subagent's missing fame) +FAQ
2,14,coyote,Coyote,market,2,5,,,CANNOT BE RETURNED,"Return the previous placed card unless it cannot be returned, and place this card in its space; if it cannot be returned, stack the coyote on it instead (FAQ)",, stack the coyote on it instead,Season 2 cards.jpeg,subagent+FAQ
2,15,clownfish,Clownfish,market,2,3,+2,IF adjacent to at least one FISH card,CANNOT BE FLIPPED / FISH,,"fish-type icon (confirmed via zoom crop, not a paw)",,Season 2 cards.jpeg,coordinator zoom crop
2,16,fox,Fox,market,2,3,+3,IF there is at least one HEN or ROOSTER in the market or any player's grid,,,,FAQ: Rooster is a Season 1 card; fame from this card is not affected by Market-phase changes,Season 2 cards.jpeg,subagent+FAQ
2,17,crab,Crab,market,2,5,,,,"IF placed in the middle column, return this card",2-cell grid icon (middle column), end Flip phase leaving crab(s) in deck,Season 2 cards.jpeg,subagent+FAQ
2,18,swordfish,Swordfish,market,2,8,,,CANNOT BE FLIPPED / FISH,Flip the previous placed card unless it [icon] and flip the next revealed card unless it [icon],,,Season 2 cards.jpeg,subagent
2,19,gorilla,Gorilla,market,2,5,,,,"IF placed in the upper row, place the next revealed card in a row above",grid-position icon, the new row forms above that card instead,Season 2 cards.jpeg,subagent+FAQ
2,20,vulture,Vulture,market,1,6,,,,"After the Market phase, dismiss the lowest rank card in your grid unless it [cannot-be-dismissed icon]",,FAQ: mandatory & free; ignored if vulture itself has left the grid by end of Market phase,Season 2 cards.jpeg,subagent+FAQ
2,21,zebra,Zebra,market,2,5,,,CANNOT BE RETURNED,Return the lowest rank card in your grid and place this card in its space,, stack zebra on it instead,Season 2 cards.jpeg,subagent+FAQ
2,22,shark,Shark,market,1,3,+1,PER FISH card,CANNOT BE FLIPPED,,,FAQ: Shark itself is explicitly NOT a fish card,Season 2 cards.jpeg,subagent+FAQ
2,23,rhinoceros,Rhinoceros,market,1,1,+3,PER adjacent odd rank card,,,plus-shaped adjacency grid icon,,Season 2 cards.jpeg,subagent
2,24,hippopotamus,Hippopotamus,market,1,0,+2,PER card remaining in your deck,,,,FAQ: fame from this card is not affected by Market-phase deck changes,Season 2 cards.jpeg,subagent+FAQ
2,25,sloth,Sloth,market,1,3,+5,IF your grid has at least eight cards,,Stack on the previous placed card,,,Season 2 cards.jpeg,subagent
2,26,platypus,Platypus,market,2,5,+3,IF your big button card is face down,"WHEN HIRED, FLIP ALL BIG BUTTON CARDS FACE UP",,,big button card is a component from the Big Button mini-expansion (see Referance rulebook photos),Season 2 cards.jpeg,subagent
